year0,orig_reg,dest_reg,flow
1970,Europe,Africa,56680
1970,Europe,Eastern Asia,9835
1970,Europe,Eastern Europe & Central Asia,164692
1970,Europe,Europe,1052895
1970,Europe,Latin America & Caribbean,71614
1970,Europe,Northern America,561890
1970,Europe,Oceania,148118
1970,Europe,Southern Asia,931
1970,Europe,Western Asia,100043
1970,Latin America & Caribbean,Africa,9366
1970,Latin America & Caribbean,Eastern Asia,18724
1970,Latin America & Caribbean,Eastern Europe & Central Asia,17978
1970,Latin America & Caribbean,Europe,349569
1970,Latin America & Caribbean,Latin America & Caribbean,709060
1970,Latin America & Caribbean,Northern America,2066322
1970,Latin America & Caribbean,Oceania,28981
1970,Latin America & Caribbean,Southern Asia,239
1970,Latin America & Caribbean,Western Asia,6121
1970,Northern America,Africa,5e3
1970,Northern America,Eastern Asia,7770
1970,Northern America,Eastern Europe & Central Asia,185425
1970,Northern America,Europe,176563
1970,Northern America,Latin America & Caribbean,61264
1970,Northern America,Northern America,101742
1970,Northern America,Oceania,16586
1970,Northern America,Southern Asia,276
1970,Northern America,Western Asia,50708
1970,Oceania,Africa,6471
1970,Oceania,Eastern Asia,3108
1970,Oceania,Eastern Europe & Central Asia,21877
1970,Oceania,Europe,46111
1970,Oceania,Latin America & Caribbean,5028
1970,Oceania,Northern America,54707
1970,Oceania,Oceania,88578
1970,Oceania,Southern Asia,299
1970,Oceania,Western Asia,7954
1970,Southern Asia,Africa,20166
1970,Southern Asia,Eastern Asia,74582
1970,Southern Asia,Eastern Europe & Central Asia,4457
1970,Southern Asia,Europe,360307
1970,Southern Asia,Latin America & Caribbean,3314
1970,Southern Asia,Northern America,234252
1970,Southern Asia,Oceania,35841
1970,Southern Asia,Southern Asia,3445019
1970,Southern Asia,Western Asia,482592
1970,Western Asia,Africa,31777
1970,Western Asia,Eastern Asia,4901
1970,Western Asia,Eastern Europe & Central Asia,126243
1970,Western Asia,Europe,659171
1970,Western Asia,Latin America & Caribbean,20106
1970,Western Asia,Northern America,129316
1970,Western Asia,Oceania,16942
1970,Western Asia,Southern Asia,29641
1970,Western Asia,Western Asia,697661
1975,Africa,Africa,4267399
1975,Africa,Eastern Asia,22070
1975,Africa,Eastern Europe & Central Asia,11339
1975,Africa,Europe,1147154
1975,Africa,Latin America & Caribbean,18039
1975,Africa,Northern America,404770
1975,Africa,Oceania,48937
1975,Africa,Southern Asia,101434
1975,Africa,Western Asia,781896
1975,Eastern Asia,Africa,22819
1975,Eastern Asia,Eastern Asia,1315588
1975,Eastern Asia,Eastern Europe & Central Asia,13316
1975,Eastern Asia,Europe,316256
1975,Eastern Asia,Latin America & Caribbean,6481
1975,Eastern Asia,Northern America,988154
1975,Eastern Asia,Oceania,99505
1975,Eastern Asia,Southern Asia,127875
1975,Eastern Asia,Western Asia,117127
1975,Eastern Europe & Central Asia,Africa,5980
1975,Eastern Europe & Central Asia,Eastern Asia,7499
1975,Eastern Europe & Central Asia,Eastern Europe & Central Asia,1865126
1975,Eastern Europe & Central Asia,Europe,154421
1975,Eastern Europe & Central Asia,Latin America & Caribbean,1790
1975,Eastern Europe & Central Asia,Northern America,12810
1975,Eastern Europe & Central Asia,Oceania,2792
1975,Eastern Europe & Central Asia,Southern Asia,1907
1975,Eastern Europe & Central Asia,Western Asia,163771
1975,Europe,Africa,230209
1975,Europe,Eastern Asia,35303
1975,Europe,Eastern Europe & Central Asia,235972
1975,Europe,Europe,1253351
1975,Europe,Latin America & Caribbean,30764
1975,Europe,Northern America,526831
1975,Europe,Oceania,63210
1975,Europe,Southern Asia,151923
1975,Europe,Western Asia,139642
1975,Latin America & Caribbean,Africa,42671
1975,Latin America & Caribbean,Eastern Asia,29120
1975,Latin America & Caribbean,Eastern Europe & Central Asia,43091
1975,Latin America & Caribbean,Europe,388125
1975,Latin America & Caribbean,Latin America & Caribbean,637263
1975,Latin America & Caribbean,Northern America,2704195
1975,Latin America & Caribbean,Oceania,51296
1975,Latin America & Caribbean,Southern Asia,4515
1975,Latin America & Caribbean,Western Asia,13557
1975,Northern America,Africa,40259
1975,Northern America,Eastern Asia,56625
1975,Northern America,Eastern Europe & Central Asia,165727
1975,Northern America,Europe,207667
1975,Northern America,Latin America & Caribbean,50253
1975,Northern America,Northern America,91841
1975,Northern America,Oceania,24860
1975,Northern America,Southern Asia,29232
1975,Northern America,Western Asia,47132
1975,Oceania,Africa,14195
1975,Oceania,Eastern Asia,18129
1975,Oceania,Eastern Europe & Central Asia,18426
1975,Oceania,Europe,99338
1975,Oceania,Latin America & Caribbean,1636
1975,Oceania,Northern America,51841
1975,Oceania,Oceania,105453
1975,Oceania,Southern Asia,18288
1975,Oceania,Western Asia,13134
1975,Southern Asia,Africa,31130
1975,Southern Asia,Eastern Asia,19541
1975,Southern Asia,Eastern Europe & Central Asia,4456
1975,Southern Asia,Europe,52861
1975,Southern Asia,Latin America & Caribbean,404
1975,Southern Asia,Northern America,108381
1975,Southern Asia,Oceania,4348
1975,Southern Asia,Southern Asia,5070116
1975,Southern Asia,Western Asia,433968
1975,Western Asia,Africa,97866
1975,Western Asia,Eastern Asia,6805
1975,Western Asia,Eastern Europe & Central Asia,140650
1975,Western Asia,Europe,649284
1975,Western Asia,Latin America & Caribbean,15489
1975,Western Asia,Northern America,141545
1975,Western Asia,Oceania,45771
1975,Western Asia,Southern Asia,49349
1975,Western Asia,Western Asia,944952
1980,Africa,Africa,3024638
1980,Africa,Eastern Asia,78525
1980,Africa,Eastern Europe & Central Asia,34887
1980,Africa,Europe,1132975
1980,Africa,Latin America & Caribbean,35667
1980,Africa,Northern America,313613
1980,Africa,Oceania,92782
1980,Africa,Southern Asia,60614
1980,Africa,Western Asia,714378
1980,Eastern Asia,Africa,634
1980,Eastern Asia,Eastern Asia,846400
1980,Eastern Asia,Eastern Europe & Central Asia,3249
1980,Eastern Asia,Europe,90248
1980,Eastern Asia,Latin America & Caribbean,3138
1980,Eastern Asia,Northern America,366740
1980,Eastern Asia,Oceania,84694
1980,Eastern Asia,Southern Asia,34181
1980,Eastern Asia,Western Asia,76876
1980,Eastern Europe & Central Asia,Africa,1514
1980,Eastern Europe & Central Asia,Eastern Asia,8521
1980,Eastern Europe & Central Asia,Eastern Europe & Central Asia,2872099
1980,Eastern Europe & Central Asia,Europe,695909
1980,Eastern Europe & Central Asia,Latin America & Caribbean,3064
1980,Eastern Europe & Central Asia,Northern America,44455
1980,Eastern Europe & Central Asia,Oceania,8198
1980,Eastern Europe & Central Asia,Southern Asia,11756
1980,Eastern Europe & Central Asia,Western Asia,142715
1980,Europe,Africa,246318
1980,Europe,Eastern Asia,148691
1980,Europe,Eastern Europe & Central Asia,581054
1980,Europe,Europe,1288957
1980,Europe,Latin America & Caribbean,124621
1980,Europe,Northern America,406578
1980,Europe,Oceania,215583
1980,Europe,Southern Asia,147264
1980,Europe,Western Asia,192861
1980,Latin America & Caribbean,Africa,11957
1980,Latin America & Caribbean,Eastern Asia,136888
1980,Latin America & Caribbean,Eastern Europe & Central Asia,34046
1980,Latin America & Caribbean,Europe,197891
1980,Latin America & Caribbean,Latin America & Caribbean,548105
1980,Latin America & Caribbean,Northern America,3226708
1980,Latin America & Caribbean,Oceania,26060
1980,Latin America & Caribbean,Southern Asia,2302
1980,Latin America & Caribbean,Western Asia,16300
1980,Northern America,Africa,9695
1980,Northern America,Eastern Asia,345055
1980,Northern America,Eastern Europe & Central Asia,258529
1980,Northern America,Europe,191800
1980,Northern America,Latin America & Caribbean,39140
1980,Northern America,Northern America,150034
1980,Northern America,Oceania,26864
1980,Northern America,Southern Asia,134252
1980,Northern America,Western Asia,44877
1980,Oceania,Africa,1359
1980,Oceania,Eastern Asia,19746
1980,Oceania,Eastern Europe & Central Asia,13583
1980,Oceania,Europe,41951
1980,Oceania,Latin America & Caribbean,1360
1980,Oceania,Northern America,33876
1980,Oceania,Oceania,87633
1980,Oceania,Southern Asia,8275
1980,Oceania,Western Asia,6291
1980,Southern Asia,Africa,25054
1980,Southern Asia,Eastern Asia,155673
1980,Southern Asia,Eastern Europe & Central Asia,5775
1980,Southern Asia,Europe,133439
1980,Southern Asia,Latin America & Caribbean,1401
1980,Southern Asia,Northern America,180520
1980,Southern Asia,Oceania,28757
1980,Southern Asia,Southern Asia,4168919
1980,Southern Asia,Western Asia,1117344
1980,Western Asia,Africa,62329
1980,Western Asia,Eastern Asia,16904
1980,Western Asia,Eastern Europe & Central Asia,209396
1980,Western Asia,Europe,374729
1980,Western Asia,Latin America & Caribbean,25913
1980,Western Asia,Northern America,134470
1980,Western Asia,Oceania,50576
1980,Western Asia,Southern Asia,302123
1980,Western Asia,Western Asia,892337
1985,Africa,Africa,4051279
1985,Africa,Eastern Asia,53220
