orig,dest,year,age,flow
South,North-East,1970,15,166
Islands,North-East,1970,15,65
North-West,Center,1970,15,327
North-East,Center,1970,15,176
Center,Center,1970,15,0
South,Center,1970,15,511
Islands,Center,1970,15,207
North-West,South,1970,15,371
North-East,South,1970,15,96
Center,South,1970,15,311
South,South,1970,15,0
Islands,South,1970,15,71
North-West,Islands,1970,15,201
North-East,Islands,1970,15,41
Center,Islands,1970,15,121
South,Islands,1970,15,64
Islands,Islands,1970,15,0
North-West,North-West,1970,16,0
North-East,North-West,1970,16,285
Center,North-West,1970,16,217
South,North-West,1970,16,412
Islands,North-West,1970,16,241
North-West,North-East,1970,16,332
North-East,North-East,1970,16,0
Center,North-East,1970,16,154
South,North-East,1970,16,114
Islands,North-East,1970,16,57
North-West,Center,1970,16,202
North-East,Center,1970,16,139
Center,Center,1970,16,0
South,Center,1970,16,363
Islands,Center,1970,16,139
North-West,South,1970,16,224
North-East,South,1970,16,70
Center,South,1970,16,230
South,South,1970,16,0
Islands,South,1970,16,53
North-West,Islands,1970,16,138
North-East,Islands,1970,16,34
Center,Islands,1970,16,87
South,Islands,1970,16,52
Islands,Islands,1970,16,0
North-West,North-West,1970,17,0
North-East,North-West,1970,17,178
Center,North-West,1970,17,135
South,North-West,1970,17,233
Islands,North-West,1970,17,132
North-West,North-East,1970,17,185
North-East,North-East,1970,17,0
Center,North-East,1970,17,76
South,North-East,1970,17,56
Islands,North-East,1970,17,32
North-West,Center,1970,17,112
North-East,Center,1970,17,81
Center,Center,1970,17,0
South,Center,1970,17,210
Islands,Center,1970,17,82
North-West,South,1970,17,127
North-East,South,1970,17,34
Center,South,1970,17,131
South,South,1970,17,0
Islands,South,1970,17,22
North-West,Islands,1970,17,73
North-East,Islands,1970,17,13
Center,Islands,1970,17,48
South,Islands,1970,17,24
Islands,Islands,1970,17,0
North-West,North-West,1970,18,0
North-East,North-West,1970,18,73
Center,North-West,1970,18,62
South,North-West,1970,18,86
Islands,North-West,1970,18,55
North-West,North-East,1970,18,74
North-East,North-East,1970,18,0
Center,North-East,1970,18,38
South,North-East,1970,18,22
Islands,North-East,1970,18,14
North-West,Center,1970,18,54
North-East,Center,1970,18,35
Center,Center,1970,18,0
South,Center,1970,18,85
Islands,Center,1970,18,34
North-West,South,1970,18,47
North-East,South,1970,18,13
Center,South,1970,18,58
South,South,1970,18,0
Islands,South,1970,18,13
North-West,Islands,1970,18,26
North-East,Islands,1970,18,6
Center,Islands,1970,18,19
South,Islands,1970,18,8
Islands,Islands,1970,18,0
North-West,North-West,1970,19,0
North-East,North-West,1970,19,21
Center,North-West,1970,19,14
South,North-West,1970,19,25
Islands,North-West,1970,19,12
North-West,North-East,1970,19,21
North-East,North-East,1970,19,0
Center,North-East,1970,19,11
South,North-East,1970,19,6
Islands,North-East,1970,19,6
North-West,Center,1970,19,19
North-East,Center,1970,19,10
Center,Center,1970,19,0
South,Center,1970,19,27
Islands,Center,1970,19,13
North-West,South,1970,19,10
North-East,South,1970,19,4
Center,South,1970,19,14
South,South,1970,19,0
Islands,South,1970,19,4
